no,description,searchDescription,description2,faClassCode,faSubclassCode,globalDimension1Code,globalDimension2Code,locationCode,faLocationCode,vendorNo,mainAssetComponent,componentOfMainAsset,warrantyDate,serialNo,lastDateModified,blocked,maintenanceVendorNo,underMaintenance,nextServiceDate,inactive,noSeries,faPostingGroup
FA000162,"Drill collar, non mag slick, 8"", 6-5/8"" reg box with bore back x 6 5/8"" reg pin with stress","DRILL COLLAR, NON MAG SLICK, 8"", 6-5/8"" REG BOX WITH BORE BACK X 6 5/8"" REG PIN WITH STRESS","relief groove connections, 8"" od x 3-1/2"" id",01 TANG,NMDC,OFS,,,,V00190, ,,0001-01-01,PST4489,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000163,"Drill collar, non mag slick, 8"", 6-5/8"" reg box with bore back x 6 5/8"" reg pin with stress relief","DRILL COLLAR, NON MAG SLICK, 8"", 6-5/8"" REG BOX WITH BORE BACK X 6 5/8"" REG PIN WITH STRESS RELIEF","groove connections, 8"" od x 3-1/4"" id, range 2",01 TANG,NMDC,OFS,,,,V00190, ,,0001-01-01,PST5925,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000164,"Drill collar, non mag pony, 6-3/4"", nc50 box with bore back x nc50 pin with stress relief","DRILL COLLAR, NON MAG PONY, 6-3/4"", NC50 BOX WITH BORE BACK X NC50 PIN WITH STRESS RELIEF","groove connections, 6-3/4"" od x 3-1/4"" id, 10' oal",01 TANG,NMDC,OFS,,,,V00190, ,,0001-01-01,PST2134,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000165,"Drill collar, non mag pony, 6-3/4"", nc50 box with bore back x nc50 pin with stress relief","DRILL COLLAR, NON MAG PONY, 6-3/4"", NC50 BOX WITH BORE BACK X NC50 PIN WITH STRESS RELIEF","groove connections, 6-3/4"" od x 3-1/4"" id, 10' oal",01 TANG,NMDC,OFS,,,,V00190, ,,0001-01-01,PST2135,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000166,"Drill collar, non mag pony, 8"", 6-5/8"" reg box with bore back x 6-5/8"" reg pin with stress relief","DRILL COLLAR, NON MAG PONY, 8"", 6-5/8"" REG BOX WITH BORE BACK X 6-5/8"" REG PIN WITH STRESS RELIEF","groove connections, 8"" od x 3-1/2"" id, 10' oal",01 TANG,NMDC,OFS,,,,V00190, ,,0001-01-01,PST8157,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000167,"NM pony dc 6-5/8"" reg","NM PONY DC 6-5/8"" REG",,01 TANG,NMDC,OFS,,,,V00190, ,,0001-01-01,HEMO1561,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000168,"Drill collar, non mag pony, 9-1/2"", 7-5/8"" reg box with bore back x 7 5/8"" reg pin with stress relie","DRILL COLLAR, NON MAG PONY, 9-1/2"", 7-5/8"" REG BOX WITH BORE BACK X 7 5/8"" REG PIN WITH STRESS RELIE","groove connections, 9-1/2"" od x 4"" id, 10' oal",01 TANG,NMDC,OFS,,,,V00190, ,,0001-01-01,PST4605,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000169,"MegaPerf Tool Body 2-7/8"" EUE box x pin and accessories","MEGAPERF TOOL BODY 2-7/8"" EUE BOX X PIN AND ACCESSORIES",,01 TANG,DHT,OFS,,,,V00280, ,,0001-01-01,TB-90-01,2026-03-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000170,STRAIGHT HOUSING,STRAIGHT HOUSING,,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,F80-22-M40A-001,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000171,STRAIGHT HOUSING,STRAIGHT HOUSING,,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,F80-22-M40A-002,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000172,"SERVICE SUB, 7.000"" AM PIN X 6.995"" MOD IF BOX ","SERVICE SUB, 7.000"" AM PIN X 6.995"" MOD IF BOX",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,SS80-22-M40-003,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000173,"SERVICE SUB, 7.000"" AM PIN X 6.995"" MOD IF BOX ","SERVICE SUB, 7.000"" AM PIN X 6.995"" MOD IF BOX",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,SS80-22-M40-004,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000174,"8"" MOTOR WITH 8"" M40A WITH UPSET THRUST HOUSING & 8"" HYBRID FLEX  DRIVE, 3° ADJUSTABLE ASSEMBLY","8"" MOTOR WITH 8"" M40A WITH UPSET THRUST HOUSING & 8"" HYBRID FLEX  DRIVE, 3° ADJUSTABLE ASSEMBLY","ROTOR RETAINER ASSEMBLY, TOP SUB, 6 5/8 REG CONNEC",01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,M40-800-0030 ,2026-01-28,False,,False,0001-01-01,False,,DRILL.FISH
FA000175,"8"" MOTOR WITH 8"" M40A WITH UPSET THRUST HOUSING & 8"" HYBRID FLEX  DRIVE, 3° ADJUSTABLE ASSEMBLY","8"" MOTOR WITH 8"" M40A WITH UPSET THRUST HOUSING & 8"" HYBRID FLEX  DRIVE, 3° ADJUSTABLE ASSEMBLY","ROTOR RETAINER ASSEMBLY, TOP SUB, 6 5/8 REG CONNEC",01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,M40-800-0033,2026-01-28,False,,False,0001-01-01,False,,DRILL.FISH
FA000176,S800784.0 L3-STD-NBR HPW-STATOR (W3367),S800784.0 L3-STD-NBR HPW-STATOR (W3367),,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C41619-3,2026-06-02,False,,False,0001-01-01,False,,DRILL.FISH
FA000177,S800784.0 L3-STD-NBR HPW-STATOR (W3367),S800784.0 L3-STD-NBR HPW-STATOR (W3367),,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C41800-2,2026-06-02,False,,False,0001-01-01,False,,DRILL.FISH
FA000178,R800784.0-SLD-2.125-6 SA:WC-ROTOR,R800784.0-SLD-2.125-6 SA:WC-ROTOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-B02000,2026-02-19,False,,False,0001-01-01,False,,DRILL.FISH
FA000179,R800784.0-SLD-2.125-6 SA:WC-ROTOR,R800784.0-SLD-2.125-6 SA:WC-ROTOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-B02001,2026-02-19,False,,False,0001-01-01,False,,DRILL.FISH
FA000180,S800784.0 L3-STD-NBR HPW-STATOR (P19290/1-W1309),S800784.0 L3-STD-NBR HPW-STATOR (P19290/1-W1309),,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C42029-10,2026-06-02,False,,False,0001-01-01,False,,DRILL.FISH
FA000181,S800784.0 L3-STD-NBR HPW-STATOR  (W1309),S800784.0 L3-STD-NBR HPW-STATOR  (W1309),,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C42029-9,2026-06-14,False,,False,0001-01-01,False,,DRILL.FISH
FA000182,S962785.7-STD-NBR HPW STATOR (35394),S962785.7-STD-NBR HPW STATOR (35394),,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C41619-5,2026-06-02,False,,False,0001-01-01,False,,DRILL.FISH
FA000183,S962785.7-STD-NBR HPW STATOR (R60577),S962785.7-STD-NBR HPW STATOR (R60577),,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C41800-8,2026-06-02,False,,False,0001-01-01,False,,DRILL.FISH
FA000184,GYROTRACER 150°C,GYROTRACER 150°C,,01 TANG,GYRO,OFS,,,,, ,,0001-01-01,HT-042,2026-03-11,False,,False,0001-01-01,False,,DRILL.FISH
FA000185,"DRILL COLLAR, NON MAG SLICK, 4-3/4"", NC38 BOX WITH BORE BACK x NC38 PIN","DRILL COLLAR, NON MAG SLICK, 4-3/4"", NC38 BOX WITH BORE BACK X NC38 PIN",,01 TANG,NMDC,OFS,,,,V00410, ,,0001-01-01,PST5900,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000186,"DRILL COLLAR, NON MAG SLICK, 6-3/4"", NC50 BOX WITH BB X NC50 PIN ","DRILL COLLAR, NON MAG SLICK, 6-3/4"", NC50 BOX WITH BB X NC50 PIN",,01 TANG,NMDC,OFS,,,,V00410, ,,0001-01-01,DPST5910,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000187,"DRILL COLLAR, NON MAG SLICK, 8"", 6-5/8"" REG BOX WITH BB x 6-5/8"" REG PIN ","DRILL COLLAR, NON MAG SLICK, 8"", 6-5/8"" REG BOX WITH BB X 6-5/8"" REG PIN",,01 TANG,NMDC,OFS,,,,V00410, ,,0001-01-01,TPST5497,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000188,"DRILL COLLAR, NON MAG FLEX, 4-3/4"", NC38 BOX WITH BB x NC38 PIN ","DRILL COLLAR, NON MAG FLEX, 4-3/4"", NC38 BOX WITH BB X NC38 PIN",,01 TANG,NMDC,OFS,,,,V00410, ,,0001-01-01,PST1939,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000189,"DRILL COLLAR, NON MAG FLEX PONY, 4-3/4"", NC38 BOX WITH BB x NC38 PIN","DRILL COLLAR, NON MAG FLEX PONY, 4-3/4"", NC38 BOX WITH BB X NC38 PIN",,01 TANG,NMDC,OFS,,,,V00410, ,,0001-01-01,PST4115,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000190,"EDR Data Acquisition System (DAQ), Links EDR software for surface parameters, ","EDR DATA ACQUISITION SYSTEM (DAQ), LINKS EDR SOFTWARE FOR SURFACE PARAMETERS,",,01 TANG,RTM,OFS,,,,V00210, ,,0001-01-01,93929,2026-03-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000191,"EDR Data Acquisition System (DAQ), Links EDR software for surface parameters, ","EDR DATA ACQUISITION SYSTEM (DAQ), LINKS EDR SOFTWARE FOR SURFACE PARAMETERS,",,01 TANG,RTM,OFS,,,,V00210, ,,0001-01-01,93930,2026-03-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000192,"PR# 0287, V145,Air Compressor for Tajoura Base","PR# 0287, V145,AIR COMPRESSOR FOR TAJOURA BASE",,01 TANG,MACHEQ,OFS,,,,V0024, ,,0001-01-01,LDC-ME-1001,2025-07-29,False,,False,0001-01-01,False,,MACHINERY
FA000193,"V197,PR# 312,Steel Rack Size H10 for Tajoura Base,Sami","V197,PR# 312,STEEL RACK SIZE H10 FOR TAJOURA BASE,SAMI",,01 TANG,PROPPLT,OFS,,,,V0024, ,,0001-01-01,LDC-ME-1002,2025-07-29,False,,False,0001-01-01,False,,MACHINERY
FA000194,"V198,PR# 288,Storage Racks  for Tajoura Base","V198,PR# 288,STORAGE RACKS  FOR TAJOURA BASE",,01 TANG,PROPPLT,OFS,,,,V0024, ,,0001-01-01,LDC-ME-1003,2025-07-29,False,,False,0001-01-01,False,,MACHINERY
FA000195,"V435, Albadeel board +Camera-86T60C at Tajoura base","V435, ALBADEEL BOARD +CAMERA-86T60C AT TAJOURA BASE",,01 TANG,FURNOFF,OFS,,,,V0024, ,,0001-01-01,LDC-FN-2001,2025-07-29,False,,False,0001-01-01,False,,FURNITURE
FA000196,"V436, TV-65 from Albadeel for Tajoura base  ","V436, TV-65 FROM ALBADEEL FOR TAJOURA BASE",,01 TANG,FURNOFF,OFS,,,,V0024, ,,0001-01-01,LDC-FN-2002,2025-07-29,False,,False,0001-01-01,False,,FURNITURE
FA000197,"V848, PMT For Pr-90198 For Alsharq Company For Purchasing Trailer ","V848, PMT FOR PR-90198 FOR ALSHARQ COMPANY FOR PURCHASING TRAILER",,01 TANG,VEH,GA,,,,V0024, ,,0001-01-01,LDC-PV-3001,2025-07-29,False,,False,0001-01-01,False,,PASS.VEH
FA000198,"New car ""KIA Sorento-2024 Model""","NEW CAR ""KIA SORENTO-2024 MODEL""",,01 TANG,VEH,GA,,,,V0024, ,,0001-01-01,LDC-PV-3002,2025-07-29,False,,False,0001-01-01,False,,PASS.VEH
FA000199,"PR(90244) For Kunooz Company ANY For Stabilizer& UPS For MWD UNIT/ TJ Base,OFS","PR(90244) FOR KUNOOZ COMPANY ANY FOR STABILIZER& UPS FOR MWD UNIT/ TJ BASE,OFS",,01 TANG,MACHEQ,OFS,,,,V0024, ,,0001-01-01,LDC-ME-1004,2025-07-29,False,,False,0001-01-01,False,,MACHINERY
FA000200,Organization Establishment Expenses,ORGANIZATION ESTABLISHMENT EXPENSES,,02 INTG,ORGEXP,OFS,,,,V0024, ,,0001-01-01,,2025-07-29,False,,False,0001-01-01,False,,ORGANIZATI
FA000201,Organization Establishment Expenses,ORGANIZATION ESTABLISHMENT EXPENSES,,02 INTG,ORGEXP,OFS,,,,V0024, ,,0001-01-01,,2025-07-29,False,,False,0001-01-01,False,,ORGANIZATI
FA000202,Warehouse Generator TJB,WAREHOUSE GENERATOR TJB,,01 TANG,MACHEQ,OFS,,,,V0024, ,,0001-01-01,,2026-06-12,False,,False,0001-01-01,False,,MACHINERY
FA000203,"9-5/8"" Drilling Motors Series 36 with 7-5/8"" Reg BxB Connection ","9-5/8"" DRILLING MOTORS SERIES 36 WITH 7-5/8"" REG BXB CONNECTION",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,15865,2025-08-11,False,,False,0001-01-01,False,,DRILL.FISH
FA000204,"16"" OD Motor Stabilizer Sleeve ","16"" OD MOTOR STABILIZER SLEEVE",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,16081,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000205,"9-5/8"" Drilling Motors Series 36 with 7-5/8"" Reg BxB Connection ","9-5/8"" DRILLING MOTORS SERIES 36 WITH 7-5/8"" REG BXB CONNECTION",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,15871,2025-08-11,False,,False,0001-01-01,False,,DRILL.FISH
FA000206,"16"" OD Motor Stabilizer Sleeve ","16"" OD MOTOR STABILIZER SLEEVE",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,16082,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000207,"9-5/8"" Drilling Motors Series 36 with 7-5/8"" Reg BxB Connection ","9-5/8"" DRILLING MOTORS SERIES 36 WITH 7-5/8"" REG BXB CONNECTION",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,15763,2025-08-11,False,,False,0001-01-01,False,,DRILL.FISH
FA000208,"16"" OD Motor Stabilizer Sleeve","16"" OD MOTOR STABILIZER SLEEVE",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,16758,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000209,"6-3/4"" Drilling Motor Series 36 with 4-1/2 I.F.x 4-1/2 I.F. Connection","6-3/4"" DRILLING MOTOR SERIES 36 WITH 4-1/2 I.F.X 4-1/2 I.F. CONNECTION",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,15580,2025-08-11,False,,False,0001-01-01,False,,DRILL.FISH
FA000210,"8-3/8"" OD Motor Stabilizer Sleeve ","8-3/8"" OD MOTOR STABILIZER SLEEVE",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,16088,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000211,"6-3/4"" Drilling Motor Series 36 with 4-1/2 I.F.x 4-1/2 I.F. Connection","6-3/4"" DRILLING MOTOR SERIES 36 WITH 4-1/2 I.F.X 4-1/2 I.F. CONNECTION",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,15872,2025-08-11,False,,False,0001-01-01,False,,DRILL.FISH
FA000212,"8-3/8"" OD Motor Stabilizer Sleeve ","8-3/8"" OD MOTOR STABILIZER SLEEVE",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,16089,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000213,"6-3/4"" Drilling Motor Series 36 with 4-1/2 I.F.x 4-1/2 I.F. Connection","6-3/4"" DRILLING MOTOR SERIES 36 WITH 4-1/2 I.F.X 4-1/2 I.F. CONNECTION",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,15579,2025-08-11,False,,False,0001-01-01,False,,DRILL.FISH
FA000214,"8-3/8"" OD Motor Stabilizer Sleeve ","8-3/8"" OD MOTOR STABILIZER SLEEVE",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,16090,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000215,"5.0"" OD Dynomax Drilling Motor Series 1 with 3-1/2"" I.F. x 3-1/2"" REG Connections","5.0"" OD DYNOMAX DRILLING MOTOR SERIES 1 WITH 3-1/2"" I.F. X 3-1/2"" REG CONNECTIONS",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,RAD 504,2025-08-11,False,,False,0001-01-01,False,,DRILL.FISH
FA000216,"5-7/8"" OD Motor Stabilizer ","5-7/8"" OD MOTOR STABILIZER",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,DM113997-04,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000217,"5.0"" OD Dynomax Drilling Motor Series 1 with 3-1/2"" I.F. x 3-1/2"" REG Connections","5.0"" OD DYNOMAX DRILLING MOTOR SERIES 1 WITH 3-1/2"" I.F. X 3-1/2"" REG CONNECTIONS",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,RAD 506,2025-08-11,False,,False,0001-01-01,False,,DRILL.FISH
FA000218,"6"" OD Motor Stabilizer ","6"" OD MOTOR STABILIZER",,01 TANG,MUD MOTOR,OFS,,,,V00470, ,,0001-01-01,DM11397-02  ,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000219,Hydraulic Setting Tool size 20,HYDRAULIC SETTING TOOL SIZE 20,,01 TANG,COMPLETION,OFS,,,,V00260, ,,0001-01-01,300459,2025-07-29,False,,False,0001-01-01,False,,DRILL.FISH
FA000220,"9 1/2"" SCREW-ON STABILIZER 23.75"" OD NON-DIR 5 BLADE","9 1/2"" SCREW-ON STABILIZER 23.75"" OD NON-DIR 5 BLADE",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,WZL-0196-003,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000221,THRUST HOUSING,THRUST HOUSING,,01 TANG,MUD MOTOR,OFS,,,,V00550, ,,0001-01-01,,2026-01-13,False,,False,0001-01-01,False,,DRILL.FISH
FA000222,"STATIONARY FLOW RESTRICTOR, UPPER","STATIONARY FLOW RESTRICTOR, UPPER",,01 TANG,MUD MOTOR,OFS,,,,V00550, ,,0001-01-01,,2025-12-17,False,,False,0001-01-01,False,,DRILL.FISH
FA000223,ROTATING FLOW RESTRICTOR,ROTATING FLOW RESTRICTOR,,01 TANG,MUD MOTOR,OFS,,,,V00550, ,,0001-01-01,,2026-03-02,False,,False,0001-01-01,False,,DRILL.FISH
FA000224,"STATIONARY FLOW RESTRICTOR, LOWER","STATIONARY FLOW RESTRICTOR, LOWER",,01 TANG,MUD MOTOR,OFS,,,,V00550, ,,0001-01-01,,2026-03-02,False,,False,0001-01-01,False,,DRILL.FISH
FA000225,"8 3/8"" MOTOR SLEEVE STABILIZER, 5 BLADE ONLY FOR H67-M7-0 MUD LUBE MOTOR","8 3/8"" MOTOR SLEEVE STABILIZER, 5 BLADE ONLY FOR H67-M7-0 MUD LUBE MOTOR",,01 TANG,MUD MOTOR,OFS,,,,V00550, ,,0001-01-01,8416701,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000226,"8 3/8"" MOTOR SLEEVE STABILIZER, 5 BLADE ONLY FOR H67-M7-0 MUD LUBE MOTOR","8 3/8"" MOTOR SLEEVE STABILIZER, 5 BLADE ONLY FOR H67-M7-0 MUD LUBE MOTOR",,01 TANG,MUD MOTOR,OFS,,,,V00550, ,,0001-01-01,8416702,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000227,"8 3/8"" MOTOR SLEEVE STABILIZER, 5 BLADE ONLY FOR H67-M7-0 MUD LUBE MOTOR","8 3/8"" MOTOR SLEEVE STABILIZER, 5 BLADE ONLY FOR H67-M7-0 MUD LUBE MOTOR",,01 TANG,MUD MOTOR,OFS,,,,V00550, ,,0001-01-01,8416703,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000228,"8 3/8"" MOTOR SLEEVE STABILIZER, 5 BLADE ONLY FOR H67-M7-0 MUD LUBE MOTOR","8 3/8"" MOTOR SLEEVE STABILIZER, 5 BLADE ONLY FOR H67-M7-0 MUD LUBE MOTOR",,01 TANG,MUD MOTOR,OFS,,,,V00550, ,,0001-01-01,8416704,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000229,"8 3/8"" MOTOR SLEEVE STABILIZER, 5 BLADE ONLY FOR H67-M7-0 MUD LUBE MOTOR","8 3/8"" MOTOR SLEEVE STABILIZER, 5 BLADE ONLY FOR H67-M7-0 MUD LUBE MOTOR",,01 TANG,MUD MOTOR,OFS,,,,V00550, ,,0001-01-01,8416705,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000230,"9 1/2"" SCREW-ON STABILIZER 23.75"" OD NON-DIR 5 BLADE","9 1/2"" SCREW-ON STABILIZER 23.75"" OD NON-DIR 5 BLADE",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,WZL-0196-004,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000231,"8"" M40 SCREW-ON STABILIZER, 12.125 OD NON-DIR 5 BLADE","8"" M40 SCREW-ON STABILIZER, 12.125 OD NON-DIR 5 BLADE",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,WZL-0265-02,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000232,"8"" M40 SCREW-ON STABILIZER, 12.125 OD NON-DIR 5 BLADE","8"" M40 SCREW-ON STABILIZER, 12.125 OD NON-DIR 5 BLADE",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,WZL-0265-03,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000233,"8"" M40 SCREW-ON STABILIZER, 12.125 OD NON-DIR 5 BLADE","8"" M40 SCREW-ON STABILIZER, 12.125 OD NON-DIR 5 BLADE",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,WZL-0265-04,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000234,"12 1/8"" SPIRAL SCREW STABILIZER","12 1/8"" SPIRAL SCREW STABILIZER",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,,2026-03-12,False,,False,0001-01-01,False,,DRILL.FISH
FA000235,"9 1/2"" SCREW-ON STABILIZER 17.25"" OD - NON-DIR 5 BLADE","9 1/2"" SCREW-ON STABILIZER 17.25"" OD - NON-DIR 5 BLADE",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,WZL-0265-01,2026-02-22,False,,False,0001-01-01,False,,DRILL.FISH
FA000236,Office Generator,OFFICE GENERATOR,,01 TANG,MACHEQ,GA,,,,V0024, ,,0001-01-01,,2025-07-29,False,,False,0001-01-01,False,,MACHINERY
FA000237,MONOCONDUCTOR WIRELINE SKID MOUNTED UNIT,MONOCONDUCTOR WIRELINE SKID MOUNTED UNIT,,01 TANG,WIRELINE,OFS,,,,V0044, ,,0001-01-01,,2026-04-06,False,,False,0001-01-01,False,,DRILL.FISH
FA000238,"7/32"" CABLE FOR WIRELINE UNIT","7/32"" CABLE FOR WIRELINE UNIT",,01 TANG,WIRELINE,OFS,,,,V0044, ,,0001-01-01,,2026-04-06,False,,False,0001-01-01,False,,DRILL.FISH
FA000239,Bearing Assembly Superhawk High Pull,BEARING ASSEMBLY SUPERHAWK HIGH PULL,,01 TANG,MUD MOTOR,OFS,,,,V01480, ,,0001-01-01,,2026-05-11,False,,False,0001-01-01,False,,DRILL.FISH
FA000240,"CPO - 4 3/4"" HYDRAULIC JAR, DOUBLE ACTING, STANDARD SEALS, 3 1/2 IF CONNECTIONS","CPO - 4 3/4"" HYDRAULIC JAR, DOUBLE ACTING, STANDARD SEALS, 3 1/2 IF CONNECTIONS",,01 TANG,JARS,OFS,,,,V0043, ,,0001-01-01,BDA25522,2025-12-07,False,,False,0001-01-01,False,,DRILL.FISH
FA000241,"CPO - 6 1/2"" HYDRAULIC JAR, DOUBLE ACTING, STANDARD SEALS, 4 1/2 IF CONNECTIONS","CPO - 6 1/2"" HYDRAULIC JAR, DOUBLE ACTING, STANDARD SEALS, 4 1/2 IF CONNECTIONS",,01 TANG,JARS,OFS,,,,V0043, ,,0001-01-01,BD17647,2025-12-07,False,,False,0001-01-01,False,,DRILL.FISH
FA000242,"8"" DOUBLE ACTING HYDRAULIC JAR, Nickel CHROME ID COATING, STANDARD SEALS, 6 5/8 REG BB/SRG CONNECTIO","8"" DOUBLE ACTING HYDRAULIC JAR, NICKEL CHROME ID COATING, STANDARD SEALS, 6 5/8 REG BB/SRG CONNECTIO",,01 TANG,JARS,OFS,,,,V0043, ,,0001-01-01,,2025-12-07,False,,False,0001-01-01,False,,DRILL.FISH
FA000243,"8"" MOTOR WITH 8"" M40A & 8"" HYBRID FLEX, S22 ADJUSTABLE, ROTOR CATCH ASSEMBLY, FLEX TOP SUB, 6 5/8 RE","8"" MOTOR WITH 8"" M40A & 8"" HYBRID FLEX, S22 ADJUSTABLE, ROTOR CATCH ASSEMBLY, FLEX TOP SUB, 6 5/8 RE",,01 TANG,MUD MOTOR,OFS,,,,V0043, ,,0001-01-01,M40-800-0050,2026-01-28,False,,False,0001-01-01,False,,DRILL.FISH
FA000244,S475783.8-1.5OS-NBR HPW -STATOR (B11235),S475783.8-1.5OS-NBR HPW,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C42029-1,2026-06-02,False,,False,0001-01-01,False,,DRILL.FISH
FA000245,Bearing Assembly Superhawk,BEARING ASSEMBLY SUPERHAWK,,01 TANG,MUD MOTOR,OFS,,,,V01480, ,,0001-01-01,,2026-05-11,False,,False,0001-01-01,False,,DRILL.FISH
FA000247,R675785.0-SLD-1.375-6 SA:WC - ROTOR,R675785.0-SLD-1.375-6 SA:WC - ROTOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-B02451,2026-02-19,False,,False,0001-01-01,False,,DRILL.FISH
FA000248,S800784.0 L3-STD-NBR HPW -STATOR  (W1309),S800784.0 L3-STD-NBR HPW -STATOR  (W1309),,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C42029-7,2026-06-02,False,,False,0001-01-01,False,,DRILL.FISH
FA000249,R800784.0-SLD-2.125-6 SA:WC - ROTOR,R800784.0-SLD-2.125-6 SA:WC - ROTOR,,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-B02446,2026-02-19,False,,False,0001-01-01,False,,DRILL.FISH
FA000250,S962785.7-STD-NBR HPW -STATOR (R60382),S962785.7-STD-NBR HPW -STATOR (R60382),,01 TANG,MUD MOTOR,OFS,,,,V00050, ,,0001-01-01,4-C42029-11,2026-06-02,False,,False,0001-01-01,False,,DRILL.FISH
